month,batch_no,total_piece, gross_weight , volume_weight , duty_fee , vat_fee , air_tran , vat_7p , grand_total ,amount_thb,from,sea_tran_usd
MAY,IM190504, 7 , 141.00 , 141.00 ," 4,179.84 "," 6,144.37 "," 19,517.82 "," 7,251.39 "," 26,769.21 ","83,596.84",CHINA," 1,410 "
MAY,IM190512, 35 , 186.00 , 214.00 , 611.49 , 185.49 ," 21,763.03 "," 19,701.96 "," 41,464.99 ","2,038.31",HONG KONG," 2,140 "
MAY,IM190512,,,, 515.95 , 156.50 , -   ,, -   ,"1,719.82",HONG KONG, -   
MAY,IM190512,,,," 5,159.47 "," 1,565.04 ", -   ,, -   ,"17,198.24",HONG KONG, -   
MAY,IM190512,,,, 611.49 , 185.49 , -   ,, -   ,"2,038.31",HONG KONG, -   
MAY,IM190512,,,," 2,407.75 ", 730.35 , -   ,, -   ,"8,025.85",HONG KONG, -   
MAY,IM190512,,,," 2,102.01 ", 637.61 , -   ,, -   ,"7,006.69",HONG KONG, -   
MAY,IM190512,,,," 1,194.32 ", 362.28 , -   ,, -   ,"3,981.08",HONG KONG, -   
MAY,IM190512,,,," 7,643.66 "," 2,318.58 ", -   ,, -   ,"25,478.88",HONG KONG, -   
MAY,IM190512,,,," 8,599.12 "," 2,608.40 ", -   ,, -   ,"28,663.74",HONG KONG, -   
MAY,IM190512,,,," 4,586.20 "," 1,391.15 ", -   ,, -   ,"15,287.33",HONG KONG, -   
MAY,IM190512,,,," 6,879.30 "," 2,086.72 ", -   ,, -   ,"22,930.99",HONG KONG, -   
MAY,IM190512,,,," 8,408.03 "," 2,550.44 ", -   ,, -   ,"28,026.77",HONG KONG, -   
MAY,IM190512,,,," 4,777.29 "," 1,449.11 ", -   ,, -   ,"15,924.30",HONG KONG, -   
MAY,IM190512,,,," 4,012.92 "," 1,217.25 ", -   ,, -   ,"13,376.41",HONG KONG, -   
MAY,IM190512,,,," 3,821.83 "," 1,159.29 ", -   ,, -   ,"12,739.44",HONG KONG, -   
MAY,IM190512,,,," 8,771.10 "," 2,660.57 ", -   ,, -   ,"29,237.01",HONG KONG, -   
MAY,IM190512,,,," 4,624.42 "," 1,402.74 ", -   ,, -   ,"15,414.72",HONG KONG, -   
MAY,IM190512,,,," 2,723.06 ", 825.99 , -   ,, -   ,"9,076.85",HONG KONG, -   
MAY,IM190518, 5 , 326.00 , 1.73 ," 5,861.20 "," 8,615.97 "," 29,338.65 "," 20,670.33 "," 50,008.98 ","117,224.06",HONG KONG, 17 
MAY,IM190518,,,," 9,568.18 "," 14,065.23 ", -   ,, -   ,"191,363.61",HONG KONG, -   
MAY,IM190522, 4 , 118.40 , 118.50 , 112.10 , 164.79 ," 3,927.00 ", 260.89 ," 4,187.89 ","2,242.08",GERMANY, -   
MAY,IM190522,,,, 716.60 ," 1,053.40 ", -   ,, -   ,"14,331.91",GERMANY, -   
MAY,IM190522,,,, 26.71 , 39.26 , -   ,, -   ,534.19,GERMANY, -   
MAY,IM190522,,,, 19.47 , 28.62 , -   ,, -   ,389.42,GERMANY, -   
MAY,IM190522,,,," 3,396.23 "," 1,030.19 ", -   ,, -   ,"11,320.76",GERMANY, -   
MAY,IM190522,,,, 618.73 , 476.42 , -   ,, -   ,"6,187.33",GERMANY, -   
MAY,IM190522,,,," 1,975.13 "," 1,520.85 ", -   ,, -   ,"19,751.26",GERMANY, -   
